t_ms,LF_ref,LF_meas,RF_ref,RF_meas,LB_ref,LB_meas,RB_ref,RB_meas
735,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
738,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
746,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
750,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
753,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
760,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
763,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
770,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
775,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
779,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
782,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
788,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
795,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
798,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
810,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
810,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
812,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
815,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
823,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
830,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
834,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
840,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
844,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
847,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
850,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
860,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
863,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
866,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
875,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
879,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
884,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
888,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
893,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
898,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
903,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
910,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
914,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
919,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
922,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
927,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
930,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
937,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
954,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
954,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
954,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
957,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
964,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
970,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
973,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
980,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
984,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
990,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
993,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1002,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1002,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1008,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1012,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1018,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1023,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1026,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1039,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1040,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1044,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1048,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1051,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1063,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1072,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1072,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1072,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1076,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1092,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1092,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1092,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1099,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1104,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1106,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1114,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1117,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1122,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1127,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1131,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1138,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1147,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1153,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1153,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1162,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1162,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1166,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1181,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1181,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1184,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1186,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1194,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1198,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1201,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1207,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1214,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1217,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1226,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1230,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1233,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1236,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1243,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1246,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1255,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1259,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1262,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1271,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1274,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1278,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1281,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1290,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1293,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1300,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1306,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1309,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1316,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
